,City,Cloud Coverage (%),Country,Date,Humidity (%),Temperature (F),Latitude,Longitude,Wind Speed
151,taikang,2,CN,1586647294,38,52.63,46.83,124.42,5.37
152,belmonte,40,BR,1586647294,83,80.6,-15.86,-38.88,5.82
153,dekar,9,BW,1586647294,48,66.85,-21.53,21.93,2.19
154,alanya,0,TR,1586647284,42,62.55,36.54,32.0,5.93
155,georgetown,20,MY,1586647044,88,82.4,5.41,100.34,2.62
156,mantua,0,IT,1586647295,50,61.0,45.17,10.78,3.36
157,muros,75,ES,1586646995,100,55.99,42.78,-9.06,2.24
158,ulladulla,0,AU,1586647295,54,66.0,-35.35,150.47,11.41
159,sitka,20,US,1586647104,48,44.6,57.05,-135.33,4.7
160,vanimo,62,PG,1586647295,77,83.46,-2.67,141.3,1.54
161,kapaa,90,US,1586647296,69,78.8,22.08,-159.32,5.82
162,castro,6,BR,1586647019,71,56.75,-24.79,-50.01,4.76
163,de-kastri,69,RU,1586647297,76,37.99,51.47,140.78,13.76
164,bossangoa,100,CF,1586647300,75,70.84,6.49,17.46,6.91
165,celestun,21,MX,1586647300,71,82.29,20.87,-90.4,16.6
166,miranda,40,CO,1586647177,65,78.8,3.25,-76.23,4.7
167,sao joao da barra,99,BR,1586647301,90,71.76,-21.64,-41.05,16.22
168,savannah bight,10,HN,1586647301,79,82.17,16.45,-85.85,30.58
169,vikhorevka,1,RU,1586647301,85,24.8,56.12,101.16,2.24
170,kushmurun,98,KZ,1586647302,81,40.55,52.45,64.63,8.46
171,manzhouli,0,CN,1586647302,29,51.35,49.6,117.43,6.98
172,save,78,BJ,1586647302,66,80.22,8.04,2.49,5.64
173,manjeshwar,7,IN,1586647302,87,77.99,12.72,74.89,3.2
174,yumen,100,CN,1586647303,23,45.57,40.28,97.2,5.01
175,weligama,10,LK,1586647263,87,76.32,5.97,80.42,3.31
176,svetlyy,100,RU,1586647303,52,41.0,54.67,20.13,8.95
177,margate,41,GB,1586647227,81,57.99,51.38,1.39,4.7
178,gat,10,IL,1586647275,87,55.99,31.61,34.76,4.7
179,talnakh,75,RU,1586647238,80,35.6,69.49,88.4,33.55
180,mehamn,82,NO,1586647074,95,23.49,71.04,27.85,7.36
181,saint-joseph,22,RE,1586647128,78,77.0,-21.37,55.62,5.82
182,lagoa,0,PT,1586647304,77,61.27,39.05,-27.98,10.2
183,morro bay,1,US,1586647305,67,69.8,35.37,-120.85,19.46
184,ternate,1,ID,1586647305,72,83.66,0.8,127.4,2.44
185,kiruna,88,SE,1586647097,73,19.4,67.86,20.23,4.7
186,halifax,90,CA,1586647168,60,42.01,44.65,-63.57,16.11
187,shimoda,75,JP,1586647305,87,51.8,34.67,138.95,16.11
188,owatonna,100,US,1586647306,41,60.01,44.08,-93.23,3.36
189,katsuura,75,JP,1586647306,93,52.0,35.13,140.3,10.29
190,shenkursk,46,RU,1586647306,95,25.12,62.11,42.9,3.22
191,jalingo,100,NG,1586647306,44,81.9,8.88,11.37,1.01
192,aksu,62,CN,1586647307,23,54.27,41.12,80.26,2.26
193,acarau,100,BR,1586647063,87,78.66,-2.89,-40.12,4.68
194,staryy nadym,100,RU,1586647237,95,17.22,65.61,72.68,6.78
195,abbeyfeale,75,IE,1586647307,87,48.2,52.38,-9.3,5.82
196,korem,100,ET,1586647307,47,55.99,12.51,39.52,2.3
197,adrar,0,MR,1586647015,17,80.47,20.5,-10.07,10.92
198,farafenni,0,GM,1586647308,60,73.83,13.57,-15.6,8.25
199,pacific grove,90,US,1586647100,67,69.01,36.62,-121.92,6.93
200,bandarbeyla,32,SO,1586647308,72,81.25,9.49,50.81,5.12
201,barra dos coqueiros,20,BR,1586647308,74,84.2,-10.91,-37.04,10.29
202,kungurtug,100,RU,1586647309,54,37.69,50.6,97.52,0.54
203,roma,1,US,1586647085,35,44.01,43.21,-75.46,12.75
204,yuzhno-kurilsk,22,RU,1586647309,93,30.74,44.03,145.86,11.65
205,tevriz,86,RU,1586647309,90,35.6,57.51,72.4,3.62
206,juneau,20,US,1586647023,28,46.4,58.3,-134.42,10.29
207,ha giang,96,VN,1586647310,76,67.42,22.83,104.98,3.09
208,karratha,0,AU,1586647228,39,84.4,-20.74,116.85,13.49
209,half moon bay,90,US,1586647183,87,69.01,37.46,-122.43,6.93
210,nalobikha,0,RU,1586647311,86,31.75,53.2,84.6,4.88
211,longyearbyen,20,SJ,1586647084,76,-7.6,78.22,15.64,1.12
212,dikson,100,RU,1586647311,96,14.09,73.51,80.55,13.71
213,rudbar,96,AF,1586647311,28,78.01,30.15,62.6,4.97
214,souillac,75,MU,1586647311,83,79.0,-20.52,57.52,5.82
215,santiago del estero,8,AR,1586647312,55,67.59,-27.8,-64.26,6.71
216,paamiut,100,GL,1586647289,73,39.69,61.99,-49.67,10.78
217,laguna,1,US,1586647285,63,72.0,38.42,-121.42,9.17
218,pangnirtung,92,CA,1586647312,87,23.81,66.15,-65.71,6.87
219,santa rosa,75,PH,1586647312,70,84.2,14.31,121.11,4.7
220,bousse,20,BF,1586647313,26,93.2,12.66,-1.89,3.36
221,kampot,39,KH,1586647313,80,81.09,10.62,104.18,5.1
222,svetlaya,24,RU,1586647313,73,38.53,46.54,138.33,2.95
223,codrington,97,AU,1586647189,63,55.85,-38.27,141.97,9.84
224,pisco,0,PE,1586647087,30,75.0,-13.7,-76.22,6.93
225,sao filipe,93,CV,1586647314,74,75.38,14.9,-24.5,9.22
226,calderitas,5,MX,1586647315,66,86.0,18.55,-88.25,16.11
227,birin,87,NP,1586647315,29,57.69,26.89,88.07,3.15
228,sibolga,87,ID,1586647315,76,78.91,1.74,98.78,3.24
229,corralillo,7,CU,1586647315,77,79.9,22.98,-80.59,8.01
230,waw,93,SS,1586647315,60,79.43,7.7,28.0,3.98
231,santa maria da vitoria,97,BR,1586647316,79,74.39,-13.39,-44.19,2.26
232,bambanglipuro,77,ID,1586647316,76,79.79,-7.95,110.28,2.39
233,dori,24,BF,1586647316,21,86.02,14.04,-0.03,8.46
234,rassvet,52,RU,1586647316,69,39.72,46.83,40.75,9.19
235,jinchang,25,CN,1586647317,26,40.26,38.5,102.17,4.14
236,carnarvon,14,AU,1586647033,100,75.2,-24.87,113.63,11.41
237,yaroslavskaya,90,RU,1586647317,74,38.8,44.61,40.46,9.91
238,kharitonovo,100,RU,1586647317,96,25.41,61.4,47.5,2.71
239,iracoubo,100,GF,1586647317,78,79.11,5.48,-53.2,11.81
240,morant bay,20,JM,1586647116,79,84.2,17.88,-76.41,18.34
241,korla,69,CN,1586647277,41,59.0,41.76,86.15,4.0
242,ambunti,88,PG,1586647318,78,83.26,-4.24,142.84,1.48
243,khani,75,GE,1586647318,93,42.8,41.96,42.96,3.36
244,taoudenni,0,ML,1586647318,12,85.96,22.68,-3.98,8.7
245,borovskoy,100,KZ,1586647319,84,38.28,53.8,64.15,7.47
246,san jeronimo,95,PE,1586647319,25,53.38,-11.95,-75.28,1.12
247,barcelos,94,PT,1586647319,100,55.0,41.54,-8.62,4.38
248,east london,85,ZA,1586647030,67,73.74,-33.02,27.91,1.92
249,tetzoyocan,14,MX,1586647320,19,87.01,18.75,-97.7,5.99
250,toktogul,100,KG,1586647320,47,52.43,41.87,72.94,0.94
251,lichinga,69,MZ,1586647320,74,59.14,-13.31,35.24,3.22
252,beyneu,23,KZ,1586647321,50,49.46,45.32,55.2,5.23
253,agadez,31,NE,1586647321,15,79.29,19.75,10.25,7.67
254,poso,5,ID,1586647321,55,82.92,-1.4,120.75,1.59
255,saint-denis,66,FR,1586647321,62,64.99,48.92,2.33,2.24
256,roald,90,NO,1586647220,100,45.0,62.58,6.13,23.04
257,alihe,0,CN,1586647322,38,50.68,50.57,123.72,3.69
258,hermanus,100,ZA,1586647046,75,69.01,-34.42,19.23,10.0
259,saint-louis,54,SN,1586647322,19,95.0,16.33,-15.0,12.88
260,hohhot,0,CN,1586647055,48,21.2,40.81,111.65,2.24
261,sembe,100,CG,1586647089,83,70.23,1.65,14.58,4.07
262,whitewater,90,US,1586647109,71,57.2,42.83,-88.73,6.49
263,liverpool,2,GB,1586647251,93,52.0,53.41,-2.98,1.12
264,sorland,100,NO,1586647233,80,34.68,67.67,12.69,15.35
265,kavaratti,4,IN,1586647323,69,84.04,10.57,72.64,4.61
266,huarmey,55,PE,1586647324,76,73.81,-10.07,-78.15,8.3
267,carutapera,100,BR,1586647324,87,80.26,-1.2,-46.02,8.57
268,quatre cocos,75,MU,1586647228,83,79.0,-20.21,57.76,5.82
269,honiara,75,SB,1586647324,79,84.2,-9.43,159.95,4.7
270,anchorage,1,US,1586647112,34,41.0,61.22,-149.9,6.93
271,maposeni,40,TZ,1586647324,83,69.8,-10.58,35.4,3.36
272,ocos,40,GT,1586647325,62,89.6,14.51,-92.19,12.75
273,guarapari,90,BR,1586647325,83,77.0,-20.67,-40.5,8.05
274,vao,35,NC,1586647325,73,76.5,-22.67,167.48,12.95
275,tahta,0,EG,1586647325,39,62.6,26.77,31.5,2.24
276,quelimane,20,MZ,1586647326,88,75.2,-17.88,36.89,3.36
277,ahipara,93,NZ,1586647091,74,68.47,-35.17,173.17,16.51
278,alaca,28,TR,1586647326,57,39.63,40.17,34.84,3.71
279,soc trang,11,VN,1586647326,67,81.32,9.6,105.98,5.01
280,waingapu,55,ID,1586647326,76,79.88,-9.66,120.26,4.61
281,mokhsogollokh,98,RU,1586647327,90,34.48,61.47,128.92,7.83
282,gloversville,1,US,1586647327,38,46.4,43.05,-74.34,12.75
283,panama city,20,PA,1586647227,58,89.01,8.99,-79.52,14.99
284,coquimbo,82,CL,1586647327,82,60.8,-29.95,-71.34,11.41
285,havre-saint-pierre,1,CA,1586647327,74,33.8,50.23,-63.6,9.17
286,komarikhinskiy,100,RU,1586647328,52,46.4,58.1,57.12,8.95
287,punta gorda,20,US,1586647315,69,84.2,26.93,-82.05,5.82
288,ulaangom,64,MN,1586647265,73,27.57,49.98,92.07,2.55
289,sinazongwe,77,ZM,1586647328,58,71.85,-17.26,27.46,1.05
290,romny,0,UA,1586647329,78,34.77,50.75,33.47,9.53
291,jiangkou,75,CN,1586647329,93,57.2,25.49,119.2,6.71
292,kirakira,94,SB,1586647081,70,85.53,-10.45,161.92,7.72
293,kuminskiy,22,RU,1586647329,90,33.6,58.67,66.57,4.43
294,klaksvik,100,FO,1586647329,93,41.0,62.23,-6.59,27.51
295,kidal,13,ML,1586647228,20,84.76,18.44,1.41,5.46
296,hami,32,CN,1586647330,23,52.66,42.8,93.45,3.56
297,seoul,1,KR,1586647190,93,46.4,37.57,126.98,7.87
298,tuban,42,ID,1586647330,81,79.9,-6.9,112.06,3.49
299,khandyga,100,RU,1586647331,96,30.52,62.67,135.6,6.22
300,vardo,46,NO,1586647292,92,26.24,70.37,31.11,8.48
301,bagdarin,64,RU,1586647331,41,42.26,54.43,113.6,1.28
302,mercedes,28,AR,1586647331,37,66.0,-34.65,-59.43,1.01
303,bengkulu,31,ID,1586647188,81,79.16,-3.8,102.27,4.65
304,alamosa,20,US,1586647332,7,62.6,37.47,-105.87,19.46
305,te anau,56,NZ,1586647332,64,59.94,-45.42,167.72,8.41
306,almaznyy,49,RU,1586647223,48,39.2,48.04,40.05,11.18
307,bilibino,91,RU,1586647125,89,14.2,68.05,166.44,3.76
308,suntar,67,RU,1586647332,89,32.45,62.14,117.63,10.51
309,cherskiy,99,RU,1586647230,96,19.6,68.75,161.3,14.63
310,sambava,10,MG,1586647333,83,75.16,-14.27,50.17,9.64
311,la ronge,75,CA,1586647333,52,19.4,55.1,-105.28,16.11
312,general roca,65,AR,1586647333,48,66.2,-39.03,-67.58,13.49
313,yongan,0,CN,1586647334,29,43.9,39.7,113.69,8.57
314,caraguatay,0,AR,1586647334,59,61.95,-26.61,-54.78,3.15
315,puerto suarez,0,BO,1586647334,62,72.55,-18.95,-57.8,2.73
316,ponta delgada,20,PT,1586647312,82,57.2,37.73,-25.67,12.75
317,vieux-habitants,20,GP,1586647334,74,78.8,16.06,-61.77,6.93
318,nanyang,0,CN,1586647335,49,52.74,32.99,112.53,7.25
319,wanaka,87,NZ,1586647335,57,57.7,-44.7,169.15,10.63
320,san matias,1,BO,1586647273,65,75.94,-16.37,-58.4,1.86
321,ponta do sol,40,PT,1586647036,67,62.6,32.67,-17.1,12.75
322,susanville,18,US,1586647149,32,62.62,40.42,-120.65,13.65
323,entre rios,98,BR,1586647336,87,74.77,-11.94,-38.08,3.98
324,suoyarvi,14,RU,1586647336,94,25.07,62.08,32.35,2.53
325,dubti,52,ET,1586647336,54,82.72,11.74,41.09,11.3
326,sept-iles,75,CA,1586647336,35,41.0,50.2,-66.38,11.41
327,maragogi,5,BR,1586647337,79,80.06,-9.01,-35.22,7.83
328,leshukonskoye,70,RU,1586647337,96,19.4,64.9,45.76,2.86
329,pointe-noire,94,CG,1586647109,88,79.03,-4.78,11.86,6.53
330,san cristobal,40,VE,1586647114,43,91.4,7.77,-72.22,20.8
331,nivala,94,FI,1586647338,74,23.0,63.92,24.97,5.46
332,manta,90,EC,1586647207,83,80.6,-0.95,-80.73,3.36
333,high level,75,CA,1586647338,46,30.2,58.52,-117.14,13.87
334,marsabit,7,KE,1586647338,61,68.52,2.33,37.99,16.33
335,namibe,10,AO,1586647338,62,77.25,-15.2,12.15,3.69
336,aswan,0,EG,1586647339,29,62.65,24.09,32.91,10.6
337,iacu,92,BR,1586647339,81,74.86,-12.77,-40.21,2.8
338,landau,19,DE,1586647339,81,57.0,49.21,8.11,3.36
339,krasnoborsk,100,RU,1586647339,94,24.58,61.56,45.93,3.13
340,nara,75,JP,1586647340,66,50.0,34.69,135.8,5.82
341,chapais,90,CA,1586647061,68,28.4,49.78,-74.85,6.93
342,goderich,19,CA,1586647261,55,51.01,43.75,-81.72,8.01
343,brandon,1,US,1586647340,61,82.4,27.94,-82.29,7.29
344,kologriv,100,RU,1586647340,93,27.68,58.83,44.32,7.47
345,bima,56,ID,1586647341,76,80.2,-8.47,118.72,1.61
346,hobyo,4,SO,1586647341,75,81.97,5.35,48.53,11.1
347,bose,0,IT,1586647341,40,60.01,45.46,8.01,3.36
348,nieuw amsterdam,40,SR,1586647342,78,82.4,5.88,-55.08,8.05
349,vaitape,47,PF,1586647342,76,83.46,-16.52,-151.75,14.07
350,qaqortoq,100,GL,1586647342,39,46.4,60.72,-46.03,38.03
351,praia,82,CV,1586647342,69,75.2,14.92,-23.51,9.17
352,vega de alatorre,39,MX,1586647342,86,81.54,20.03,-96.63,7.52
353,sao sebastiao,45,BR,1586647343,66,71.28,-23.76,-45.41,5.17
354,biltine,58,TD,1586647232,15,77.86,14.53,20.92,11.92
355,mount gambier,90,AU,1586647343,66,53.6,-37.83,140.77,6.93
356,usinsk,85,RU,1586647343,94,11.5,65.99,57.53,6.64
357,lata,75,PT,1586647344,87,57.99,40.16,-8.33,3.36
358,san fernando,75,PH,1586647344,83,84.2,15.03,120.69,2.24
359,vestmannaeyjar,100,IS,1586647344,88,43.29,63.44,-20.27,11.14
360,shatrovo,83,RU,1586647344,77,38.16,56.52,64.63,5.28
361,nanortalik,100,GL,1586647077,77,36.54,60.14,-45.24,33.8
362,eskil,6,TR,1586647345,39,47.59,38.4,33.41,8.41
363,port macquarie,0,AU,1586647267,44,66.99,-31.43,152.92,8.05
364,eydhafushi,4,MV,1586647345,65,84.42,5.1,73.07,2.01
365,kutum,37,SD,1586647346,17,66.27,14.2,24.67,8.84
366,tefe,100,BR,1586647346,97,73.8,-3.35,-64.71,3.22
367,nahrin,74,AF,1586647346,38,59.11,36.06,69.13,2.84
368,buluang,42,PH,1586647346,73,82.24,13.31,123.34,4.32
369,xuddur,14,SO,1586647346,71,75.7,4.12,43.89,13.06
370,saint-georges,17,GD,1586647089,78,78.71,12.06,-61.75,16.26
371,dumas,1,US,1586647347,11,82.4,35.87,-101.97,14.99
372,naze,75,JP,1586647347,93,66.2,28.37,129.48,12.75
373,claveria,53,PH,1586647347,78,78.22,18.61,121.08,5.93
374,mezen,7,RU,1586647347,96,17.26,65.85,44.24,5.1
375,ambilobe,6,MG,1586647348,84,72.03,-13.2,49.05,3.89
376,lakeside,1,US,1586647348,47,75.99,30.13,-81.77,6.93
377,kigoma,77,TZ,1586647145,61,74.75,-4.88,29.63,6.67
378,leningradskiy,91,RU,1586647348,86,17.11,69.38,178.42,2.91
379,adelaide,90,AU,1586647349,54,61.0,-34.93,138.6,6.93
380,mednogorsk,60,RU,1586647349,73,36.0,51.41,57.59,5.68
381,taft,40,IR,1586647349,40,68.0,31.75,54.21,4.7
382,bintulu,75,MY,1586647114,100,75.2,3.17,113.03,4.7
383,san carlos de bariloche,0,AR,1586647350,46,46.4,-41.15,-71.31,6.93
384,la rioja,75,ES,1586647350,93,55.4,42.25,-2.5,5.82
385,kamenka,70,RU,1586647350,83,34.0,51.32,42.77,14.81
386,sioux lookout,75,CA,1586647169,59,35.6,50.1,-91.92,14.99
